#-----------------------------------------------------------
# Vivado v2024.2 (64-bit)
# SW Build 5239630 on Fri Nov 08 22:34:34 MST 2024
# IP Build 5239520 on Sun Nov 10 16:12:51 MST 2024
# SharedData Build 5239561 on Fri Nov 08 14:39:27 MST 2024
# Start of session at: Mon May  4 13:01:56 2026
# Process ID         : 2479
# Current directory  : /home/ubuntu/firesim-build/platforms/f2/aws-fpga-firesim-f2/hdk/cl/developer_designs/cl_f2-firesim-FireSim-FireSimRocketNICNoTraceConfig-BaseF2Config/build/scripts
# Command line       : vivado -mode batch -source build_all.tcl -log 2026_05_04-130149.vivado.log -tclargs SSI_SpreadLogic_high AggressiveExplore AggressiveExplore A1 B0 C0 H2
# Log file           : /home/ubuntu/firesim-build/platforms/f2/aws-fpga-firesim-f2/hdk/cl/developer_designs/cl_f2-firesim-FireSim-FireSimRocketNICNoTraceConfig-BaseF2Config/build/scripts/2026_05_04-130149.vivado.log
# Journal file       : /home/ubuntu/firesim-build/platforms/f2/aws-fpga-firesim-f2/hdk/cl/developer_designs/cl_f2-firesim-FireSim-FireSimRocketNICNoTraceConfig-BaseF2Config/build/scripts/vivado.jou
# Running On         : ip-192-168-1-58
# Platform           : Ubuntu
# Operating System   : Ubuntu 24.04.1 LTS
# Processor Detail   : Intel(R) Xeon(R) 6975P-C
# CPU Frequency      : 3899.670 MHz
# CPU Physical cores : 4
# CPU Logical cores  : 8
# Host memory        : 33089 MB
# Swap memory        : 10737 MB
# Total Virtual      : 43827 MB
# Available Virtual  : 43318 MB
#-----------------------------------------------------------
source build_all.tcl
# proc print {message} {
#     set prefix "\nAWS FPGA: ([clock format [clock seconds] -format %T]): "
#     append output $prefix $message "\n"
#     puts $output
# }
# proc check_timing_path { {verbose 1} } {
# 
#   set setupPaths [get_timing_paths -max_paths 1 -slack_lesser_than 0 -setup]
#   set holdPaths  [get_timing_paths -max_paths 1 -slack_lesser_than 0 -hold]
# 
#   if {$verbose>0} {
#     print "Checking the negative slack path of the existing design"
#   }
# 
#   if {[llength $setupPaths] == 0 && [llength $holdPaths] == 0} {
#     if {$verbose>0} {
#       print "SUCCESS: Design has no negative slack path"
#     }
#     return 0
#   } else {
#     if {$verbose>0} {
#       print "CRITICAL WARNING: Found $setupPaths negative setup slack paths and $holdPaths negative hold slack hold paths"
#     }
#     return 1
#   }
# }
# proc create_dir {name path {verbose 0}} {
# 
#     # Better to use absolute path
#     set cur [pwd]
#     # Check if the $path exists
#     if {![file isdirectory $path]} {
#         error "$path doesn't exist"
#     }
#     cd $path
#     set path_abs [pwd]
# 
#     cd $cur
#     # Check and create the directory if not exists
#     if {![file isdirectory $path_abs/$name]} {
#         file mkdir $path_abs/$name
#         if {$verbose>0} {
#             print "Creating new folder $path_abs/$name"
#         }
#     } elseif {$verbose>0} {
#         print "Found existing folder $path_abs/$name. Folder creation skipped"
#     }
#     return $path_abs/$name
# }
# proc display_proj {} {
#     global VIVADO_TOOL_VERSION
#     global CL
#     global SHELL_MODE
#     global BUILD_FLOW
#     global BUILD_STRATEGY
#     global BUILD_STRATEGY_FILE
#     global PLACE_DIRECT
#     global PHY_OPT_DIRECT
#     global ROUTE_DIRECT
#     global STRATEGY_SYNTH_OPTIONS
#     global STRATEGY_SYNTH_DIRECTIVE
#     global STRATEGY_OPT_OPTIONS
#     global STRATEGY_OPT_DIRECTIVE
#     global STRATEGY_PLACE_OPTIONS
#     global STRATEGY_PHYS_OPT
#     global STRATEGY_PHYS_OPTIONS
#     global STRATEGY_ROUTE_OPTIONS
#     global STRATEGY_ROUTE_PHYS_OPT
#     global STRATEGY_POST_PHYS_OPTIONS
#     global STRATEGY_POST_PHYS_DIRECTIVE
#     global TAG
#     global clock_recipe_a
#     global clock_recipe_b
#     global clock_recipe_c
#     global clock_recipe_hbm
# 
# 
#     set rpt "
#     ==================================================
#     Running CL builds w/ updated build tag
#     ==================================================
#     vivado_tool      : $VIVADO_TOOL_VERSION
#     cl               : $CL
#     mode             : $SHELL_MODE
#     clock_recipe_a   : $clock_recipe_a
#     clock_recipe_b   : $clock_recipe_b
#     clock_recipe_c   : $clock_recipe_c
#     clock_recipe_hbm : $clock_recipe_hbm
#     flow             : $BUILD_FLOW
#     build_strategy   : $BUILD_STRATEGY
#     strategy_file    : $BUILD_STRATEGY_FILE
#     place_direct     : $PLACE_DIRECT
#     phy_opt_direct   : $PHY_OPT_DIRECT
#     route_direct     : $ROUTE_DIRECT
#     synth_options    : $STRATEGY_SYNTH_OPTIONS
#     synth_directive  : $STRATEGY_SYNTH_DIRECTIVE
#     opt_options      : $STRATEGY_OPT_OPTIONS
#     opt_directive    : $STRATEGY_OPT_DIRECTIVE
#     place_options    : $STRATEGY_PLACE_OPTIONS
#     phys_opt         : $STRATEGY_PHYS_OPT
#     phys_options     : $STRATEGY_PHYS_OPTIONS
#     route_options    : $STRATEGY_ROUTE_OPTIONS
#     route_phys_opt   : $STRATEGY_ROUTE_PHYS_OPT
#     post_phys_opts   : $STRATEGY_POST_PHYS_OPTIONS
#     post_phys_direct : $STRATEGY_POST_PHYS_DIRECTIVE
#     build_tag        : $TAG
#     ==================================================
#     "
#     puts "$rpt"
# }
# set PLACE_DIRECT     [lindex $argv 0]
# set PHY_OPT_DIRECT   [lindex $argv 1]
# set ROUTE_DIRECT     [lindex $argv 2]
# set clock_recipe_a   [lindex $argv 3]
# set clock_recipe_b   [lindex $argv 4]
# set clock_recipe_c   [lindex $argv 5]
# set clock_recipe_hbm [lindex $argv 6]
# set DEVICE_TYPE "xcvu47p-fsvh2892-2-e"
# if { [info exists ::env(BUILD_FLOW)] } {
#   set BUILD_FLOW $::env(BUILD_FLOW)
# } else {
#   set BUILD_FLOW "BuildAll"
# }
# if { [info exists ::env(CL)] } {
#   set CL $::env(CL)
# } else {
#   set CL "cl_dram_hbm_dma"
# }
# if { [info exists ::env(SHELL_MODE)] } {
#   set SHELL_MODE $::env(SHELL_MODE)
# } else {
#   set SHELL_MODE "xdma_shell"
# }
# if { [info exists ::env(BUILD_TAG)] } {
#   set TAG $::env(BUILD_TAG)
# } else {
#   set TAG "00_00_0000-999999"
# }
# if { [info exists ::env(HDK_SHELL_DIR)] } {
#     set HDK_SHELL_DIR $::env(HDK_SHELL_DIR)
# } else {
#     print "ERROR: HDK_SHELL_DIR not set. Please run hdk_setup.sh to set required env variables."
#     exit
# }
# if { [info exists ::env(HDK_SHELL_DESIGN_DIR)] } {
#     set HDK_SHELL_DESIGN_DIR $::env(HDK_SHELL_DESIGN_DIR)
# } else {
#     print "ERROR: HDK_SHELL_DESIGN_DIR not set. Please run hdk_setup.sh to set required env variables."
#     exit
# }
# if { [info exists ::env(HDK_COMMON_DIR)] } {
#     set HDK_COMMON_DIR $::env(HDK_COMMON_DIR)
# } else {
#     print "ERROR: HDK_COMMON_DIR not set. Please run hdk_setup.sh to set required env variables."
#     exit
# }
# if { [info exists ::env(HDK_IP_SRC_DIR)] } {
#     set HDK_IP_SRC_DIR $::env(HDK_IP_SRC_DIR)
# } else {
#     print "ERROR: HDK_IP_SRC_DIR not set. Please run hdk_setup.sh to set required env variables."
#     exit
# }
# if { [info exists ::env(HDK_BD_SRC_DIR)] } {
#     set HDK_BD_SRC_DIR $::env(HDK_BD_SRC_DIR)
# } else {
#     print "ERROR: HDK_BD_SRC_DIR not set. Please run hdk_setup.sh to set required env variables."
#     exit
# }
# if { [info exists ::env(HDK_BD_GEN_DIR)] } {
#     set HDK_BD_GEN_DIR $::env(HDK_BD_GEN_DIR)
# } else {
#     print "ERROR: HDK_BD_GEN_DIR not set. Please run hdk_setup.sh to set required env variables."
#     exit
# }
# if { [info exists ::env(CL_DIR)] } {
#     set CL_DIR $::env(CL_DIR)
# } else {
#     print "ERROR: CL_DIR not set. Please run hdk_setup.sh to set required env variables."
#     exit
# }
# if { [info exists ::env(VIVADO_TOOL_VERSION)] } {
#     set VIVADO_TOOL_VERSION $::env(VIVADO_TOOL_VERSION)
# } else {
#     print "ERROR: VIVADO_TOOL_VERSION not set. Please run hdk_setup.sh to set required env variables."
#     exit
# }
# if { [info exists ::env(DESIRED_HOST_FREQUENCY)] } {
#     set desired_host_frequency $::env(DESIRED_HOST_FREQUENCY)
#     print "Using DESIRED_HOST_FREQUENCY from environment: $desired_host_frequency MHz"
# } else {
#     set desired_host_frequency 75
#     print "WARNING: DESIRED_HOST_FREQUENCY not set, using default 75 MHz"
# }

AWS FPGA: (13:04:09): Using DESIRED_HOST_FREQUENCY from environment: 30 MHz

