UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Apr19 ?        00:00:58 /usr/lib/systemd/systemd --system --deserialize=74
root           2       0  0 Apr19 ?        00:00:00 [kthreadd]
root           3       2  0 Apr19 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 Apr19 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2  0 Apr19 ?        00:00:00 [kworker/R-sync_wq]
root           6       2  0 Apr19 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2  0 Apr19 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2  0 Apr19 ?        00:00:00 [kworker/R-netns]
root          10       2  0 Apr19 ?        00:00:00 [kworker/0:0H-events_highpri]
root          13       2  0 Apr19 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2  0 Apr19 ?        00:00:09 [ksoftirqd/0]
root          15       2  0 Apr19 ?        00:03:26 [rcu_sched]
root          16       2  0 Apr19 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root          17       2  0 Apr19 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          18       2  0 Apr19 ?        00:00:03 [migration/0]
root          19       2  0 Apr19 ?        00:00:00 [idle_inject/0]
root          20       2  0 Apr19 ?        00:00:00 [cpuhp/0]
root          21       2  0 Apr19 ?        00:00:00 [cpuhp/1]
root          22       2  0 Apr19 ?        00:00:00 [idle_inject/1]
root          23       2  0 Apr19 ?        00:00:03 [migration/1]
root          24       2  0 Apr19 ?        00:00:07 [ksoftirqd/1]
root          26       2  0 Apr19 ?        00:00:00 [kworker/1:0H-events_highpri]
root          27       2  0 Apr19 ?        00:00:00 [cpuhp/2]
root          28       2  0 Apr19 ?        00:00:00 [idle_inject/2]
root          29       2  0 Apr19 ?        00:00:03 [migration/2]
root          30       2  0 Apr19 ?        00:00:07 [ksoftirqd/2]
root          32       2  0 Apr19 ?        00:00:00 [kworker/2:0H-events_highpri]
root          33       2  0 Apr19 ?        00:00:00 [cpuhp/3]
root          34       2  0 Apr19 ?        00:00:00 [idle_inject/3]
root          35       2  0 Apr19 ?        00:00:03 [migration/3]
root          36       2  0 Apr19 ?        00:00:07 [ksoftirqd/3]
root          38       2  0 Apr19 ?        00:00:00 [kworker/3:0H-events_highpri]
root          39       2  0 Apr19 ?        00:00:00 [cpuhp/4]
root          40       2  0 Apr19 ?        00:00:00 [idle_inject/4]
root          41       2  0 Apr19 ?        00:00:02 [migration/4]
root          42       2  0 Apr19 ?        00:00:07 [ksoftirqd/4]
root          44       2  0 Apr19 ?        00:00:00 [kworker/4:0H-events_highpri]
root          45       2  0 Apr19 ?        00:00:00 [cpuhp/5]
root          46       2  0 Apr19 ?        00:00:00 [idle_inject/5]
root          47       2  0 Apr19 ?        00:00:02 [migration/5]
root          48       2  0 Apr19 ?        00:00:07 [ksoftirqd/5]
root          50       2  0 Apr19 ?        00:00:00 [kworker/5:0H-events_highpri]
root          51       2  0 Apr19 ?        00:00:00 [cpuhp/6]
root          52       2  0 Apr19 ?        00:00:00 [idle_inject/6]
root          53       2  0 Apr19 ?        00:00:02 [migration/6]
root          54       2  0 Apr19 ?        00:00:07 [ksoftirqd/6]
root          56       2  0 Apr19 ?        00:00:00 [kworker/6:0H-events_highpri]
root          57       2  0 Apr19 ?        00:00:00 [cpuhp/7]
root          58       2  0 Apr19 ?        00:00:00 [idle_inject/7]
root          59       2  0 Apr19 ?        00:00:02 [migration/7]
root          60       2  0 Apr19 ?        00:00:07 [ksoftirqd/7]
root          62       2  0 Apr19 ?        00:00:00 [kworker/7:0H-events_highpri]
root          63       2  0 Apr19 ?        00:00:00 [kdevtmpfs]
root          64       2  0 Apr19 ?        00:00:00 [kworker/R-inet_frag_wq]
root          65       2  0 Apr19 ?        00:00:00 [rcu_tasks_rude_kthread]
root          66       2  0 Apr19 ?        00:00:00 [rcu_tasks_trace_kthread]
root          67       2  0 Apr19 ?        00:00:00 [kauditd]
root          68       2  0 Apr19 ?        00:00:00 [khungtaskd]
root          70       2  0 Apr19 ?        00:00:00 [oom_reaper]
root          72       2  0 Apr19 ?        00:00:00 [kworker/R-writeback]
root          73       2  0 Apr19 ?        00:10:00 [kcompactd0]
root          74       2  0 Apr19 ?        00:00:00 [ksmd]
root          75       2  0 Apr19 ?        00:00:00 [khugepaged]
root          76       2  0 Apr19 ?        00:00:00 [kworker/R-kblockd]
root          77       2  0 Apr19 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root          78       2  0 Apr19 ?        00:00:00 [kworker/R-kintegrityd]
root          80       2  0 Apr19 ?        00:00:00 [irq/9-acpi]
root          83       2  0 Apr19 ?        00:00:00 [kworker/R-tpm_dev_wq]
root          84       2  0 Apr19 ?        00:00:00 [kworker/R-ata_sff]
root          85       2  0 Apr19 ?        00:00:00 [kworker/R-md]
root          86       2  0 Apr19 ?        00:00:00 [kworker/R-md_bitmap]
root          87       2  0 Apr19 ?        00:00:00 [kworker/R-edac-poller]
root          88       2  0 Apr19 ?        00:00:00 [kworker/R-devfreq_wq]
root          89       2  0 Apr19 ?        00:00:00 [watchdogd]
root          90       2  0 Apr19 ?        00:00:00 [kworker/R-quota_events_unbound]
root          91       2  0 Apr19 ?        00:00:22 [kworker/2:1H-kblockd]
root          93       2  0 Apr19 ?        00:53:49 [kswapd0]
root          94       2  0 Apr19 ?        00:00:00 [ecryptfs-kthread]
root          95       2  0 Apr19 ?        00:00:00 [kworker/R-kthrotld]
root          96       2  0 Apr19 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root          97       2  0 Apr19 ?        00:00:00 [kworker/R-nvme-wq]
root          98       2  0 Apr19 ?        00:00:00 [kworker/R-nvme-reset-wq]
root          99       2  0 Apr19 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         100       2  0 Apr19 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         104       2  0 Apr19 ?        00:00:00 [kworker/R-mld]
root         105       2  0 Apr19 ?        00:00:21 [kworker/0:1H-kblockd]
root         106       2  0 Apr19 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         107       2  0 Apr19 ?        00:00:00 [kworker/R-kstrp]
root         112       2  0 Apr19 ?        00:00:00 [kworker/u33:0]
root         123       2  0 Apr19 ?        00:00:00 [kworker/R-charger_manager]
root         124       2  0 Apr19 ?        00:00:28 [jbd2/nvme0n1p1-8]
root         125       2  0 Apr19 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         126       2  0 Apr19 ?        00:00:21 [kworker/3:1H-kblockd]
root         129       2  0 Apr19 ?        00:00:20 [kworker/4:1H-kblockd]
root         151       2  0 Apr19 ?        00:00:20 [kworker/7:1H-kblockd]
root         161       2  0 Apr19 ?        00:00:20 [kworker/6:1H-kblockd]
root         168       2  0 Apr19 ?        00:00:20 [kworker/5:1H-kblockd]
root         180       2  0 Apr19 ?        00:00:21 [kworker/1:1H-kblockd]
root         198       2  0 Apr19 ?        00:00:00 [kworker/R-kmpathd]
root         199       2  0 Apr19 ?        00:00:00 [kworker/R-kmpath_handlerd]
root         317       2  0 Apr19 ?        00:00:00 [kworker/R-ena]
root         380       2  0 Apr19 ?        00:00:00 [jbd2/nvme0n1p16-8]
root         381       2  0 Apr19 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         384       2  0 Apr19 ?        00:00:00 [jbd2/nvme1n1-8]
root         385       2  0 Apr19 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         624       1  0 Apr19 ?        00:00:00 /usr/sbin/acpid
message+     627       1  0 Apr19 ?        00:00:31 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         635       1  0 Apr19 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         641       1  0 Apr19 ?        00:01:44 /snap/amazon-ssm-agent/13009/amazon-ssm-agent
root         645       1  0 Apr19 ?        00:00:25 /usr/lib/systemd/systemd-logind
root         664       1  0 Apr19 ?        00:00:01 /usr/sbin/cron -f -P
root         720       1  0 Apr19 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         805       1  0 Apr19 ttyS0    00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
root         825       1  0 Apr19 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
ubuntu      1144       1  0 Apr19 ?        00:00:04 /usr/lib/systemd/systemd --user
