[prt-host-watchdog] started at 2026-05-08T10:17:44Z
[prt-host-watchdog] runtime_config=/home/ubuntu/chipyard/sims/firesim/deploy/config_runtime_f2_gemmini_rerocc_pairmanager_dummy8x8_4c12p12_sbus64_linux_bertmini_pipeline_runtime_batch8_fileonly_sync_gdbserver_cfg32_nic_notrace.yaml
[prt-host-watchdog] idle_timeout_seconds=600 live_idle_timeout_seconds=3600 poll_seconds=30
[prt-host-watchdog] ssh_connect_timeout_seconds=10 probe_timeout_seconds=20 capture_timeout_seconds=180
[prt-host-watchdog] heartbeat_liveness_enable=1
[prt-host-watchdog] arm_on_guest_status_nonzero=1
[prt-host-watchdog] monitoring instance=i-0e335f0087f382ab7 private_ip=192.168.1.137
[prt-host-watchdog] guest-status arm observed at 2026-05-08T10:25:04Z hb='Target Cycle (fastest), Seconds Since Start' guest_status=1644
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16724 guest_log=0 guest_sparse=1293 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=1290 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=31s uart=16724 guest_log=0 guest_sparse=1293 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=1290 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16822 guest_log=0 guest_sparse=3806 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=395 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=4096
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=62s uart=16822 guest_log=0 guest_sparse=3806 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=395 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=4096
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16919 guest_log=0 guest_sparse=153298 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=94s uart=16919 guest_log=0 guest_sparse=153298 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=31s hb_idle=125s uart=16919 guest_log=0 guest_sparse=153298 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16919 guest_log=0 guest_sparse=219191 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=156s uart=16919 guest_log=0 guest_sparse=219191 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=32s hb_idle=188s uart=16919 guest_log=0 guest_sparse=219191 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16919 guest_log=0 guest_sparse=262515 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=219s uart=16919 guest_log=0 guest_sparse=262515 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=31s hb_idle=250s uart=16919 guest_log=0 guest_sparse=262515 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=2576 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16919 guest_log=0 guest_sparse=262589 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3864 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=282s uart=16919 guest_log=0 guest_sparse=262589 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3864 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=31s hb_idle=313s uart=16919 guest_log=0 guest_sparse=262589 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3864 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11406
