[prt-host-watchdog] started at 2026-05-10T09:00:14Z
[prt-host-watchdog] runtime_config=/home/ubuntu/chipyard/sims/firesim/deploy/config_runtime_f2_gemmini_rerocc_pairmanager_dummy8x8_4c12p12_sbus64_linux_bertmini_pipeline_runtime_batch8_fileonly_sync_no_dma_perf_cfg32_nic_notrace.yaml
[prt-host-watchdog] idle_timeout_seconds=7200 live_idle_timeout_seconds=10800 poll_seconds=30
[prt-host-watchdog] ssh_connect_timeout_seconds=10 probe_timeout_seconds=20 capture_timeout_seconds=180
[prt-host-watchdog] heartbeat_liveness_enable=1
[prt-host-watchdog] arm_on_guest_status_nonzero=1
[prt-host-watchdog] monitoring instance=i-018ec159180f85f6c private_ip=192.168.1.72
[prt-host-watchdog] guest-status arm observed at 2026-05-10T09:07:33Z hb='Target Cycle (fastest), Seconds Since Start' guest_status=1738
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=21027 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=32s uart=21027 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=63s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=31s hb_idle=94s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=62s hb_idle=125s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=94s hb_idle=157s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=125s hb_idle=188s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=156s hb_idle=219s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=187s hb_idle=250s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=219s hb_idle=282s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=250s hb_idle=313s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=281s hb_idle=344s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=313s hb_idle=376s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=344s hb_idle=407s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=375s hb_idle=438s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=406s hb_idle=469s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=438s hb_idle=501s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=469s hb_idle=532s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] heartbeat-progress hb='18337109557, 965' idle=500s hb_idle=0s uart=21093 guest_log=0 guest_sparse=0 guest_status=1738
[prt-host-watchdog] hb='18337109557, 965' idle=500s hb_idle=0s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=531s hb_idle=31s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=563s hb_idle=63s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=594s hb_idle=94s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=625s hb_idle=125s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=657s hb_idle=157s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=688s hb_idle=188s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=719s hb_idle=219s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=750s hb_idle=250s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=782s hb_idle=282s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] hb='18337109557, 965' idle=813s hb_idle=313s uart=21093 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1738 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
